year,country,dairy_produce,aquatic_produce,fruit_produce,meat_produce,vegetable_produce,all_trade,GDP,avg_GDP,vacc_rate,freight,inflation,Country Code,death_rate,FTA,Asia,Africa,North_America,South_America,Europe,Oceania
2018,Portugal,1418.415,12948933.562,0.0,10062121.295,14969.234,23027442.506,242313116577.967,23562.5545228191,0.0,21.878122327014164,0.993715683468326,PRT,0.0,0,0,0,0,0,1,0
2018,Portugal,1418.415,12948933.562,0.0,10062121.295,14969.234,23027442.506,242313116577.967,23562.5545228191,0.0,21.878122327014164,0.993715683468326,PRT,0.0,0,0,0,0,0,1,0
2018,Saint Lucia,2036783.166,0.0,0.0,1574420.712,0.0,3611203.878,2060955555.55556,11585.69187104,0.0,1.325136034306232,1.93561893150602,LCA,0.0,0,0,0,1,0,0,0
2018,Saint Lucia,2036783.166,0.0,0.0,1574420.712,0.0,3611203.878,2060955555.55556,11585.69187104,0.0,1.325136034306232,1.93561893150602,LCA,0.0,0,0,0,1,0,0,0
2018,Saint Vincent and the Grenadines,438732.364,0.0,0.0,0.0,0.0,438732.364,884329629.62963,8399.70773102107,0.0,4.968341039877208,2.32414485367921,VCT,0.0,0,0,0,1,0,0,0
2018,Saint Vincent and the Grenadines,438732.364,0.0,0.0,0.0,0.0,438732.364,884329629.62963,8399.70773102107,0.0,4.968341039877208,2.32414485367921,VCT,0.0,0,0,0,1,0,0,0
2018,Saudi Arabia,279369162.887,1873102.077,3447208.202,61860160.206,1480810.163,348030443.5350001,846583733333.333,24175.5816431828,0.0,22.70656970680946,2.45814158007532,SAU,0.0,0,1,0,0,0,0,0
2018,Saudi Arabia,279369162.887,1873102.077,3447208.202,61860160.206,1480810.163,348030443.5350001,846583733333.333,24175.5816431828,0.0,22.70656970680946,2.45814158007532,SAU,0.0,0,1,0,0,0,0,0
2018,Serbia,47686.327,9238.754,0.0,0.0,0.0,56925.081,50640662859.4987,7252.40366767165,0.0,20.17542626579117,1.95984076293801,SRB,0.0,0,0,0,0,0,1,0
2018,Serbia,47686.327,9238.754,0.0,0.0,0.0,56925.081,50640662859.4987,7252.40366767165,0.0,20.17542626579117,1.95984076293801,SRB,0.0,0,0,0,0,0,1,0
2018,Singapore,250837585.717,6504392.43,32250471.117,28331164.188,2719117.763,320642731.21500003,376892697588.005,66840.6373389791,0.0,30.32749273585199,0.43862011844684,SGP,0.0,1,1,0,0,0,0,0
2018,Singapore,250837585.717,6504392.43,32250471.117,28331164.188,2719117.763,320642731.21500003,376892697588.005,66840.6373389791,0.0,30.32749273585199,0.43862011844684,SGP,0.0,1,1,0,0,0,0,0
2018,Slovenia,0.0,93848.915,123333.518,0.0,149671.554,366853.98699999996,54177882425.8431,26123.7471277911,0.0,30.01692150140351,1.7386086198818,SVN,0.0,0,0,0,0,0,1,0
2018,Slovenia,0.0,93848.915,123333.518,0.0,149671.554,366853.98699999996,54177882425.8431,26123.7471277911,0.0,30.01692150140351,1.7386086198818,SVN,0.0,0,0,0,0,0,1,0
2018,Somalia,347286.509,0.0,0.0,0.0,0.0,347286.509,8278212314.40466,537.159290210329,0.0,21.337823069035505,2.4503624385017,SOM,0.0,0,0,1,0,0,0,0
2018,Somalia,347286.509,0.0,0.0,0.0,0.0,347286.509,8278212314.40466,537.159290210329,0.0,21.337823069035505,2.4503624385017,SOM,0.0,0,0,1,0,0,0,0
2018,Spain,296379.472,42592358.342,20086316.788,8821060.015,557582.665,72353697.282,1421702715218.04,30379.7211126422,0.0,11.507266880678852,1.6749813686379,ESP,0.0,0,0,0,0,0,1,0
2018,Spain,296379.472,42592358.342,20086316.788,8821060.015,557582.665,72353697.282,1421702715218.04,30379.7211126422,0.0,11.507266880678852,1.6749813686379,ESP,0.0,0,0,0,0,0,1,0
2018,Sudan,31194866.751,0.0,0.0,0.0,0.0,31194866.751,32333780383.2924,769.869140625,0.0,27.55385321312516,63.2925073455888,SDN,0.0,0,0,1,0,0,0,0
2018,Sudan,31194866.751,0.0,0.0,0.0,0.0,31194866.751,32333780383.2924,769.869140625,0.0,27.55385321312516,63.2925073455888,SDN,0.0,0,0,1,0,0,0,0
2018,Sweden,0.0,1564809.858,1902592.224,25214240.916,367629.368,29049272.366,555455371487.089,54589.0603860606,0.0,13.531739345762697,1.95353530127028,SWE,0.0,0,0,0,0,0,1,0
2018,Sweden,0.0,1564809.858,1902592.224,25214240.916,367629.368,29049272.366,555455371487.089,54589.0603860606,0.0,13.531739345762697,1.95353530127028,SWE,0.0,0,0,0,0,0,1,0
2018,Tonga,5140554.744,220395.52,1278132.706,3777131.425,788566.062,11204780.457,488906838.594866,4649.61330094975,0.0,19.99786574546172,5.03209691984874,TON,0.0,0,0,0,0,0,0,1
2018,Tonga,5140554.744,220395.52,1278132.706,3777131.425,788566.062,11204780.457,488906838.594866,4649.61330094975,0.0,19.99786574546172,5.03209691984874,TON,0.0,0,0,0,0,0,0,1
2018,Tunisia,3045954.011,0.0,0.0,278887.995,0.0,3324842.006,42686580020.8322,3577.17534204669,0.0,15.992201514350315,7.30759176031652,TUN,0.0,0,0,1,0,0,0,0
2018,Tunisia,3045954.011,0.0,0.0,278887.995,0.0,3324842.006,42686580020.8322,3577.17534204669,0.0,15.992201514350315,7.30759176031652,TUN,0.0,0,0,1,0,0,0,0
2018,Ukraine,88747.609,6776682.404,0.0,344642.312,0.0,7210072.325,130891088293.55,3096.5625,0.0,38.29170957775489,10.9518559353178,UKR,0.0,0,0,0,0,0,1,0
